,Name,Track_ID,Album,Artist,Artist_ID,Artist_Genre,Duration_ms,Popularity,Explicit,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Playlist,Mood,MoodR,ExplicitR
18,THATS WHAT I WANT,0e8nrvls4Qqv5Rfa2UhqmO,MONTERO,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,"['lgbtq+ hip hop', 'pop']",143901,87,True,0.737,0.846,1,-4.51,0,0.22,0.00614,0.0,0.0486,0.546,87.981,Mood_Booster,Happy,1,1
19,My Universe,3FeVmId7tL5YN8B7R3imoM,My Universe,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,"['permanent wave', 'pop']",228000,85,False,0.588,0.701,9,-6.39,1,0.0402,0.00813,0.0,0.2,0.443,104.988,Mood_Booster,Happy,1,0
20,Watermelon Sugar,6UelLqGlWMcVH1E5c4H7lY,Fine Line,Harry Styles,6KImCVD70vtIoJWnq6nGn3,['pop'],174000,90,False,0.548,0.816,0,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95.39,Mood_Booster,Happy,1,0
21,Leave Before You Love Me (with Jonas Brothers),4qu63nuBpdn0qHUHuObEj1,Leave Before You Love Me,Marshmello,64KEffDW9EtZ1y2vBYgq8T,"['brostep', 'dance pop', 'edm', 'pop', 'pop dance', 'progressive electro house']",154983,86,False,0.721,0.738,7,-4.77,1,0.0403,0.00226,4.41e-06,0.118,0.637,119.976,Mood_Booster,Happy,1,0
22,Save Your Tears (with Ariana Grande) (Remix),37BZB0z9T8Xu7U3e65qxFy,Save Your Tears (Remix),The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,"['canadian contemporary r&b', 'canadian pop', 'pop']",191013,84,False,0.65,0.825,0,-4.645,1,0.0325,0.0215,2.44e-05,0.0936,0.593,118.091,Mood_Booster,Happy,1,0
23,2 Be Loved (Am I Ready),2rmwqU7yzTvzkiaRV53DpT,Special,Lizzo,56oDRnqbIiwx4mymNEv7dS,"['escape room', 'minnesota hip hop', 'pop', 'trap queen']",187107,84,False,0.721,0.769,7,-4.111,1,0.105,0.0922,0.0,0.0817,0.915,155.932,Mood_Booster,Happy,1,0
24,Victoria’s Secret,4svaKoxMMP7ImmKrD5hfQu,Victoria’s Secret,Jax,7DQYAz99eM3Y5PkP9WtUew,['gen z singer-songwriter'],176124,83,True,0.586,0.556,6,-7.639,1,0.0592,0.00655,0.0,0.0836,0.517,167.018,Mood_Booster,Happy,1,1
25,Sunshine,5r43qanLhUCdBj8HN3fa6B,Sunshine,OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,"['piano rock', 'pop', 'pop rock']",163854,83,False,0.697,0.875,5,-4.621,1,0.034,0.137,0.0,0.28,0.774,140.069,Mood_Booster,Happy,1,0
26,Better Days (NEIKED x Mae Muller x Polo G),6f5ExP43esnvdKPddwKXJH,Better Days (NEIKED x Mae Muller x Polo G),NEIKED,5H6xmHXjsq98NLbEjuE29f,"['dance pop', 'pop', 'pop dance', 'scandipop', 'tropical house']",160656,83,False,0.717,0.671,0,-5.077,0,0.0337,0.0018,2.54e-06,0.0921,0.699,110.054,Mood_Booster,Happy,1,0
27,Electric Love,2GiJYvgVaD2HtM8GqD9EgQ,Dopamine,BØRNS,1KP6TWI40m7p3QBTU6u2xo,"['modern rock', 'pop']",218106,83,False,0.611,0.797,6,-7.627,0,0.0533,0.00543,0.00137,0.26,0.518,120.041,Mood_Booster,Happy,1,0
28,Summer of Love (Shawn Mendes & Tainy),0z8hI3OPS8ADPWtoCjjLl6,Summer Of Love,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,"['canadian pop', 'dance pop', 'pop', 'viral pop']",184104,82,False,0.776,0.808,11,-4.501,1,0.117,0.0297,0.000127,0.103,0.494,123.988,Mood_Booster,Happy,1,0
29,Light Switch,1BSMpVGWs3v5BZKnAQziAc,Light Switch,Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,"['dance pop', 'pop', 'viral pop']",185680,82,False,0.69,0.626,6,-5.693,1,0.306,0.105,0.000335,0.0881,0.912,184.009,Mood_Booster,Happy,1,0
30,Meet Me At Our Spot,07MDkzWARZaLEdKxo6yArG,THE ANXIETY,THE ANXIETY,64H8UqGLbJFHwKtGxiV8OP,['modern alternative pop'],162680,81,True,0.773,0.47,2,-7.93,1,0.0299,0.0153,0.000193,0.0851,0.399,94.995,Mood_Booster,Happy,1,1
31,Celestial,4zrKN5Sv8JS5mqnbVcsul7,Celestial,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,"['pop', 'uk pop']",209026,81,False,0.574,0.852,2,-1.248,1,0.0397,0.0529,0.0,0.161,0.501,123.038,Mood_Booster,Happy,1,0
32,When I’m Gone (with Katy Perry),5902W4uHWzhtOff1UK7the,When I’m Gone (with Katy Perry),Alesso,4AVFqumd2ogHFlRbKIjp1t,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'tropical house']",161266,81,False,0.685,0.886,0,-4.179,1,0.034,0.028,0.0,0.481,0.615,125.034,Mood_Booster,Happy,1,0
33,Woke Up in Love,21H0pUV2uPIPcFnFhgTBjo,Woke Up in Love,Kygo,23fqKkggKUBHNkbKtXEls4,"['edm', 'pop', 'pop dance', 'tropical house']",216873,81,False,0.643,0.585,2,-5.994,1,0.0369,0.225,0.0,0.0927,0.188,106.015,Mood_Booster,Happy,1,0
34,Coast (feat. Anderson .Paak),1l4iQsOZ5sOXZPMQLvouaB,Coast,Hailee Steinfeld,5p7f24Rk5HkUZsaS3BLG5F,"['dance pop', 'pop', 'post-teen pop', 'uk pop']",166720,80,False,0.701,0.875,11,-4.1,1,0.0757,0.0262,7.32e-06,0.137,0.84,111.976,Mood_Booster,Happy,1,0
35,Numb Little Bug,3o9kpgkIcffx0iSwxhuNI2,Numb Little Bug,Em Beihold,7o2ZQYM7nTsaVdkXY38UAA,"['alt z', 'gen z singer-songwriter']",169237,79,False,0.742,0.527,8,-6.892,0,0.0769,0.327,0.0,0.25,0.638,84.974,Mood_Booster,Happy,1,0
36,Levitating (feat. DaBaby),463CkQjx2Zk1yXoBuierM9,Levitating (feat. DaBaby),Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,"['dance pop', 'pop', 'uk pop']",203064,78,False,0.702,0.825,6,-3.787,0,0.0601,0.00883,0.0,0.0674,0.915,102.977,Mood_Booster,Happy,1,0
37,3 Nights,1tNJrcVe6gwLEiZCtprs1u,"Don't Forget About Me, Demos",Dominic Fike,6USv9qhCn6zfxlBQIYJ9qs,"['alternative pop rock', 'pop']",177666,78,False,0.815,0.518,7,-6.594,0,0.0897,0.223,0.0,0.104,0.877,151.891,Mood_Booster,Happy,1,0
38,Make You Mine,5iFwAOB2TFkPJk8sMlxP8g,Make You Mine,PUBLIC,4vxaQs6vK54nK89J1VtLex,['indie rockism'],232906,78,False,0.606,0.799,9,-4.452,1,0.0261,0.0128,0.0,0.15,0.638,103.014,Mood_Booster,Happy,1,0
39,Skyline,1QxIFMs4M8qd5cbJJu80v4,Skyline,Khalid,6LuN9FCkKOj5PcnpouEgny,"['pop', 'pop r&b']",182895,78,False,0.733,0.653,11,-6.094,1,0.0391,0.0179,0.0218,0.184,0.752,119.996,Mood_Booster,Happy,1,0
40,A-O-K,1sx0XsWUusUoPstbvokZjP,TV,Tai Verdes,2kCO8LXN1usaOPL3iEE28I,"['modern indie pop', 'pop', 'pop rap']",173640,78,True,0.731,0.626,11,-6.919,1,0.0805,0.125,0.0,0.183,0.862,82.488,Mood_Booster,Happy,1,1
41,Put Your Records On,6AGOKlMZWLCaEJGnaROtF9,Put Your Records On,Ritt Momney,7MPGCB854Qo4alYMOPkBka,"['bedroom pop', 'indie pop']",210463,77,False,0.399,0.491,6,-10.778,0,0.0538,0.0563,0.00089,0.11,0.151,91.066,Mood_Booster,Happy,1,0
42,Someone To You,2f0pn9DkEJwAzXApnFh5cr,Where The Shadow Ends,BANNERS,4qWnlmXWuGv2TtuxtIWlJX,"['indie poptimism', 'pop', 'pop rock', 'uk pop']",219801,77,False,0.52,0.903,2,-5.497,1,0.042,0.00517,0.0,0.254,0.652,74.988,Mood_Booster,Happy,1,0
43,Butterflies,7eQHxigpuDJjCG50JyzU8v,Butterflies,MAX,1bqxdqvUtPWZri43cKHac8,"['dance pop', 'electropop', 'pop', 'post-teen pop', 'viral pop']",191250,77,False,0.7,0.613,11,-4.041,1,0.0408,0.385,0.0,0.0887,0.42,88.084,Mood_Booster,Happy,1,0
44,Be Like That - feat. Swae Lee & Khalid,5f1joOtoMeyppIcJGZQvqJ,Be Like That (feat. Swae Lee & Khalid),Kane Brown,3oSJ7TBVCWMDMiYjXNiCKE,"['black americana', 'contemporary country', 'country', 'country road']",191406,76,False,0.727,0.626,7,-8.415,1,0.0726,0.0469,2.58e-05,0.126,0.322,86.97,Mood_Booster,Happy,1,0
45,Green Green Grass,4N5s8lPTsjI9EGP7K4SXzB,Gold Rush Kid,George Ezra,2ysnwxxNtSgbb9t1m2Ur4j,"['folk-pop', 'neo-singer-songwriter']",167613,76,False,0.685,0.738,8,-4.413,1,0.0595,0.0695,0.0,0.128,0.8,112.972,Mood_Booster,Happy,1,0
46,Anyone,31qCy5ZaophVA81wtlwLc4,Anyone,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,"['canadian pop', 'pop']",190779,76,False,0.686,0.538,2,-8.026,1,0.0345,0.181,3.13e-06,0.113,0.584,115.884,Mood_Booster,Happy,1,0
47,OK Not To Be OK,0zzVTGyRrWpQu8Fr28NRAv,OK Not To Be OK,Marshmello,64KEffDW9EtZ1y2vBYgq8T,"['brostep', 'dance pop', 'edm', 'pop', 'pop dance', 'progressive electro house']",159862,76,False,0.743,0.837,1,-5.025,0,0.0649,0.0172,0.0,0.0743,0.263,103.072,Mood_Booster,Happy,1,0
48,Lost,18XlJEroUwFo0tLZxscgXE,JORDI (Deluxe),Maroon 5,04gDigrS5kc9YWfZHwBETP,['pop'],172597,75,False,0.766,0.706,7,-6.553,0,0.16,0.223,0.00028,0.064,0.766,142.989,Mood_Booster,Happy,1,0
49,Mariposa,4ja2gzrNh9VNigzoXfmbwD,Mariposa,Peach Tree Rascals,0imE3buPhAowREqCrr4CYe,"['chill r&b', 'pop']",210000,75,False,0.676,0.525,9,-5.88,1,0.028,0.617,0.0,0.356,0.421,112.011,Mood_Booster,Happy,1,0
50,Can I Get It,6w8ZPYdnGajyfPddTWdthN,30,Adele,4dpARuHxo51G3z768sgnrY,"['british soul', 'pop', 'pop soul', 'uk pop']",210384,75,False,0.703,0.68,9,-6.118,0,0.0431,0.0171,0.0,0.178,0.536,97.985,Mood_Booster,Happy,1,0
51,Black And White,7rpNuuoMbid56XkDsx2FjE,Heartbreak Weather,Niall Horan,1Hsdzj7Dlq2I7tHP7501T4,"['dance pop', 'neo mellow', 'pop', 'post-teen pop', 'uk pop']",193089,74,False,0.443,0.582,2,-6.02,1,0.0482,0.0301,0.0,0.127,0.239,147.589,Mood_Booster,Happy,1,0
52,Chasing Stars (feat. James Bay),6y6xhAgZjvxy5kR5rigpY3,Chasing Stars (feat. James Bay),Alesso,4AVFqumd2ogHFlRbKIjp1t,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'tropical house']",170457,72,False,0.594,0.64,10,-6.865,1,0.033,0.0169,0.0,0.135,0.492,92.871,Mood_Booster,Happy,1,0
53,Wonder Woman,3BLWGYOcy1svvsBByeFxLh,LEGEND,John Legend,5y2Xq6xcjJb2jVM54GHK3t,"['neo mellow', 'neo soul', 'pop', 'pop soul', 'r&b', 'urban contemporary']",168562,72,False,0.628,0.476,0,-4.947,1,0.0352,0.417,0.0,0.121,0.336,147.915,Mood_Booster,Happy,1,0
54,Let's Fall in Love for the Night,7kQkmyoHCEqwe7QwDbkSXM,Let’s Fall In Love For The Night,FINNEAS,37M5pPGs6V1fchFJSgCguX,"['alt z', 'electropop', 'la indie', 'pop']",190348,72,True,0.737,0.408,5,-7.941,1,0.104,0.802,0.0,0.171,0.374,127.921,Mood_Booster,Happy,1,1
55,Fly Away,2zBDKzqa6sdxeI0fC6OWIC,Welcome To The Madhouse,Tones And I,2NjfBq1NflQcKSeiDooVjY,"['australian pop', 'pop']",178156,72,False,0.806,0.513,4,-6.208,1,0.0685,0.217,0.0,0.217,0.503,124.988,Mood_Booster,Happy,1,0
56,Lil Bit,0NmuYnjETG3u3qx0OmEJev,Lil Bit,Nelly,2gBjLmx6zQnFGQJCAQpRgw,"['dance pop', 'gangster rap', 'hip hop', 'pop rap', 'southern hip hop', 'st louis rap', 'urban contemporary']",195962,72,True,0.707,0.689,4,-7.097,0,0.0387,0.0255,0.0,0.383,0.41,119.987,Mood_Booster,Happy,1,1
57,dancing in the kitchen,0ohcCrxZkBfFbkuRPOZQZX,dancing in the kitchen,LANY,49tQo2QULno7gxHutgccqF,"['la pop', 'pop']",208599,71,False,0.619,0.736,11,-7.651,1,0.0425,0.0328,0.0,0.0864,0.299,93.993,Mood_Booster,Happy,1,0
58,Don't I Make It Look Easy,0Bm2kjXM4w6JlwS6jpTmfO,Don't I Make It Look Easy,Meghan Trainor,6JL8zeS1NmiOftqZTRgdTz,"['dance pop', 'hip pop', 'pop', 'post-teen pop', 'uk pop']",154888,71,True,0.628,0.742,0,-4.51,1,0.0668,0.0624,0.0,0.274,0.829,148.756,Mood_Booster,Happy,1,1
59,The Bones - with Hozier,1yTTMcUhL7rtz08Dsgb7Qb,The Bones (with Hozier),Maren Morris,6WY7D3jk8zTrHtmkqqo5GI,"['contemporary country', 'country', 'country road', 'pop', 'texas country']",197298,71,False,0.561,0.597,11,-6.0,0,0.0405,0.286,0.0,0.0979,0.355,76.826,Mood_Booster,Happy,1,0
60,Wave of You,5Ne1q9Hv3l2NHBA3Agt8WT,Wave of You,Surfaces,4ETSs924pXMzjIeD6E9b4u,"['bedroom soul', 'pop']",213842,71,False,0.695,0.656,1,-6.038,1,0.0489,0.057,0.0,0.267,0.346,90.986,Mood_Booster,Happy,1,0
61,Way Less Sad,6g3XrmNrWVa33dZuxIhMbF,OK ORCHESTRA,AJR,6s22t5Y3prQHyaHWUN1R1C,['modern rock'],206108,71,False,0.701,0.547,2,-8.238,1,0.0483,0.00843,0.0,0.0987,0.4,140.015,Mood_Booster,Happy,1,0
62,Clarity,5c6lM2zjAF6MFoD8C1hiBr,Clarity,Vance Joy,10exVja0key0uqUkk6LJRT,"['folk-pop', 'pop', 'pop rock']",227240,70,False,0.552,0.873,0,-6.065,1,0.0464,0.00137,0.000273,0.0966,0.62,125.059,Mood_Booster,Happy,1,0
63,Glad You Exist,472vIK1ldetTxRxG3ovaiY,Glad You Exist,Dan + Shay,7z5WFjZAIYejWy0NI5lv4T,"['contemporary country', 'country', 'country road', 'pop']",144533,70,False,0.748,0.551,11,-6.12,1,0.0349,0.235,0.0,0.119,0.66,103.953,Mood_Booster,Happy,1,0
64,Let's go to Hell,38XLUjlR84JEwK0SOvX77a,Let's go to Hell,Tai Verdes,2kCO8LXN1usaOPL3iEE28I,"['modern indie pop', 'pop', 'pop rap']",152181,70,True,0.782,0.798,4,-5.07,0,0.0337,0.141,0.0,0.685,0.905,127.89,Mood_Booster,Happy,1,1
65,SUPERBLOOM,2HvtedoEeymVWrBPyAMNwZ,SUPERBLOOM,MisterWives,5ivCbtrcD5N4rD337xIb2z,"['electropop', 'indie pop', 'indie poptimism', 'modern rock', 'nyc pop', 'pop', 'pop rock']",213546,70,False,0.558,0.889,8,-3.945,1,0.102,0.191,0.000387,0.328,0.716,170.102,Mood_Booster,Happy,1,0
66,You (with Marshmello & Vance Joy),1GkHyypTFkUf0QQKwYoXH4,You (with Marshmello & Vance Joy),benny blanco,5CiGnKThu5ctn9pBxv7DGa,"['dance pop', 'electropop', 'pop', 'pop rap']",169632,69,False,0.668,0.563,11,-6.433,1,0.0522,0.0493,0.0,0.119,0.305,103.116,Mood_Booster,Happy,1,0
67,Blueberry Eyes (feat. SUGA of BTS),5dn6QANKbf76pANGjMBida,Blueberry Eyes (feat. SUGA of BTS),MAX,1bqxdqvUtPWZri43cKHac8,"['dance pop', 'electropop', 'pop', 'post-teen pop', 'viral pop']",172244,69,False,0.746,0.611,0,-7.034,0,0.101,0.454,0.000922,0.133,0.411,149.967,Mood_Booster,Happy,1,0
68,Sheesh!,3ddNKnYpVx0uI8vcwbTQ5Y,Sheesh!,Surfaces,4ETSs924pXMzjIeD6E9b4u,"['bedroom soul', 'pop']",148846,69,False,0.743,0.832,5,-3.937,1,0.0611,0.161,0.0,0.0925,0.801,149.951,Mood_Booster,Happy,1,0
69,Love Again,1imMjt1YGNebtrtTAprKV7,Future Nostalgia,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,"['dance pop', 'pop', 'uk pop']",258004,69,False,0.659,0.667,11,-4.668,0,0.0339,0.00173,2.85e-05,0.1,0.468,115.982,Mood_Booster,Happy,1,0
70,Cloudy Day,0mA7zotmg2ZFMRALljdZsS,Cloudy Day,Tones And I,2NjfBq1NflQcKSeiDooVjY,"['australian pop', 'pop']",185303,69,False,0.705,0.776,4,-6.096,1,0.0445,0.0643,2.81e-06,0.0246,0.366,116.011,Mood_Booster,Happy,1,0
71,Joy,4Hn4zAkBUaNnT8m9p7cYaf,Joy,Andy Grammer,2oX42qP5ineK3hrhBECLmj,"['dance pop', 'neo mellow', 'pop', 'pop rap', 'pop rock']",193621,69,False,0.675,0.793,2,-6.0,1,0.157,0.108,0.0,0.103,0.233,111.907,Mood_Booster,Happy,1,0
72,WHERE WE ARE,7l987hjMH9FBNXBE93Hrs7,BRIGHTSIDE,The Lumineers,16oZKvXb6WkQlVAjwo2Wbg,"['folk-pop', 'stomp and holler']",172800,67,False,0.573,0.507,11,-8.084,1,0.0342,0.759,1.37e-06,0.377,0.363,123.183,Mood_Booster,Happy,1,0
73,Little Bit of Love,78q4ESvMkPVJzHAV11LAGE,Little Bit of Love (Acoustic),Tom Grennan,5SHxzwjek1Pipl1Yk11UHv,"['tropical house', 'uk pop']",226268,67,False,0.689,0.706,1,-4.48,0,0.0312,0.0833,0.0,0.105,0.623,106.52,Mood_Booster,Happy,1,0
74,Catching Feelings (feat. SIX60),0gCNs3jCCDhObAK0MRghtv,Drax Project,Drax Project,6S0IvKlvPMX1RtAYtVpUV8,"['australian pop', 'nz pop']",218854,67,False,0.396,0.521,3,-5.877,1,0.101,0.605,0.0,0.157,0.34,175.558,Mood_Booster,Happy,1,0
75,Big Energy,5lHxARJJrZc3ss4ZVmGWfz,Big Energy,Latto,3MdXrJWsbVzdn6fe5JYkSQ,"['pop', 'rap', 'trap queen']",173182,66,False,0.935,0.81,11,-3.838,0,0.117,0.0401,0.0,0.349,0.787,106.028,Mood_Booster,Happy,1,0
76,Everybody Wants To Rule The World,4RvWPyQ5RL0ao9LPZeSouE,Songs From The Big Chair (Super Deluxe Edition),Tears For Fears,4bthk9UfsYUYdcFyqxmSUU,"['new romantic', 'new wave', 'new wave pop', 'permanent wave', 'rock', 'sophisti-pop', 'synthpop']",251488,88,False,0.645,0.795,7,-12.095,1,0.0527,0.347,0.00389,0.104,0.535,112.067,Have_A_Great_Day,Happy,1,0
78,Mr. Brightside,003vvx7Niy0yvhvHt4a68B,Hot Fuss,The Killers,0C0XlULifJtAgn6ZNCW2eu,"['alternative rock', 'dance rock', 'permanent wave', 'rock']",222973,86,False,0.352,0.911,1,-5.23,1,0.0747,0.00121,0.0,0.0995,0.236,148.033,Have_A_Great_Day,Happy,1,0
79,Take on Me,2WfaOiMkCvy7F5fcp2zZ8L,Hunting High and Low,a-ha,2jzc5TC5TVFLXQlBNiIUzE,"['new romantic', 'new wave', 'new wave pop', 'permanent wave', 'soft rock', 'synthpop']",225280,86,False,0.573,0.902,6,-7.638,0,0.054,0.018,0.00125,0.0928,0.876,84.412,Have_A_Great_Day,Happy,1,0
80,Viva La Vida,1mea3bSkSGXuIRvnydlB5b,Viva La Vida or Death and All His Friends,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,"['permanent wave', 'pop']",242373,85,False,0.486,0.617,5,-7.115,0,0.0287,0.0954,3.23e-06,0.109,0.417,138.015,Have_A_Great_Day,Happy,1,0
81,I'm Still Standing,1jDJFeK9x3OZboIAHsY9k2,Too Low For Zero,Elton John,3PhoLpVuITZKcymswpck5b,"['glam rock', 'mellow gold', 'piano rock']",183440,84,False,0.504,0.904,6,-6.863,1,0.179,0.356,0.121,0.14,0.772,176.808,Have_A_Great_Day,Happy,1,0
82,Africa,2374M0fQpWi3dLnB54qaLX,Toto IV,TOTO,0PFtn5NtBbbUNbU9EAmIWF,"['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",295893,84,False,0.671,0.373,9,-18.064,1,0.0323,0.257,8.01e-05,0.0481,0.732,92.718,Have_A_Great_Day,Happy,1,0
83,Dreams - 2004 Remaster,0ofHAoxe9vBkTCp2UQIavz,Rumours (Super Deluxe),Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,"['album rock', 'classic rock', 'rock', 'soft rock', 'yacht rock']",257800,84,False,0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,Have_A_Great_Day,Happy,1,0
84,Dancing Queen,0GjEhVFGZW8afUYGChu3Rr,Arrival,ABBA,0LcJLqbBmaGUft1e9Mm8HV,"['europop', 'swedish pop']",230400,84,False,0.543,0.87,9,-6.514,1,0.0428,0.358,0.000939,0.792,0.754,100.804,Have_A_Great_Day,Happy,1,0
85,Shut Up and Dance,4kbj5MwxO1bq9wjT5g9HaA,TALKING IS HARD,WALK THE MOON,6DIS6PRrLS3wbnZsf7vYic,"['dance rock', 'indie poptimism', 'modern alternative rock', 'modern rock', 'pop rock', 'rock']",199080,84,False,0.578,0.866,1,-3.804,1,0.0619,0.00701,0.0,0.257,0.619,128.038,Have_A_Great_Day,Happy,1,0
86,September,2grjqo0Frpf2okIBiifQKs,"The Best Of Earth, Wind & Fire Vol. 1","Earth, Wind & Fire",4QQgXkCYTt3BlENzhyNETg,"['disco', 'funk', 'jazz funk', 'quiet storm', 'soul']",215093,83,False,0.697,0.832,9,-7.264,1,0.0298,0.168,0.00131,0.269,0.979,125.926,Have_A_Great_Day,Happy,1,0
