,Name,Track_ID,Album,Artist,Artist_ID,Artist_Genre,Duration_ms,Popularity,Explicit,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Playlist,Mood,MoodR,ExplicitR
35,3 Nights,1tNJrcVe6gwLEiZCtprs1u,"Don't Forget About Me, Demos",Dominic Fike,6USv9qhCn6zfxlBQIYJ9qs,"['alternative pop rock', 'pop']",177666,78,False,0.815,0.518,7,-6.594,0,0.0897,0.223,0.0,0.104,0.877,151.891,Mood_Booster,Happy,1,0
36,Make You Mine,5iFwAOB2TFkPJk8sMlxP8g,Make You Mine,PUBLIC,4vxaQs6vK54nK89J1VtLex,['indie rockism'],232906,78,False,0.606,0.799,9,-4.452,1,0.0261,0.0128,0.0,0.15,0.638,103.014,Mood_Booster,Happy,1,0
37,Skyline,1QxIFMs4M8qd5cbJJu80v4,Skyline,Khalid,6LuN9FCkKOj5PcnpouEgny,"['pop', 'pop r&b']",182895,78,False,0.733,0.653,11,-6.094,1,0.0391,0.0179,0.0218,0.184,0.752,119.996,Mood_Booster,Happy,1,0
38,A-O-K,1sx0XsWUusUoPstbvokZjP,TV,Tai Verdes,2kCO8LXN1usaOPL3iEE28I,"['modern indie pop', 'pop', 'pop rap']",173640,78,True,0.731,0.626,11,-6.919,1,0.0805,0.125,0.0,0.183,0.862,82.488,Mood_Booster,Happy,1,1
39,Put Your Records On,6AGOKlMZWLCaEJGnaROtF9,Put Your Records On,Ritt Momney,7MPGCB854Qo4alYMOPkBka,"['bedroom pop', 'indie pop']",210463,77,False,0.399,0.491,6,-10.778,0,0.0538,0.0563,0.00089,0.11,0.151,91.066,Mood_Booster,Happy,1,0
40,Someone To You,2f0pn9DkEJwAzXApnFh5cr,Where The Shadow Ends,BANNERS,4qWnlmXWuGv2TtuxtIWlJX,"['indie poptimism', 'pop', 'pop rock', 'uk pop']",219801,77,False,0.52,0.903,2,-5.497,1,0.042,0.00517,0.0,0.254,0.652,74.988,Mood_Booster,Happy,1,0
41,Butterflies,7eQHxigpuDJjCG50JyzU8v,Butterflies,MAX,1bqxdqvUtPWZri43cKHac8,"['dance pop', 'electropop', 'pop', 'post-teen pop', 'viral pop']",191250,77,False,0.7,0.613,11,-4.041,1,0.0408,0.385,0.0,0.0887,0.42,88.084,Mood_Booster,Happy,1,0
42,Be Like That - feat. Swae Lee & Khalid,5f1joOtoMeyppIcJGZQvqJ,Be Like That (feat. Swae Lee & Khalid),Kane Brown,3oSJ7TBVCWMDMiYjXNiCKE,"['black americana', 'contemporary country', 'country', 'country road']",191406,76,False,0.727,0.626,7,-8.415,1,0.0726,0.0469,2.58e-05,0.126,0.322,86.97,Mood_Booster,Happy,1,0
43,Green Green Grass,4N5s8lPTsjI9EGP7K4SXzB,Gold Rush Kid,George Ezra,2ysnwxxNtSgbb9t1m2Ur4j,"['folk-pop', 'neo-singer-songwriter']",167613,76,False,0.685,0.738,8,-4.413,1,0.0595,0.0695,0.0,0.128,0.8,112.972,Mood_Booster,Happy,1,0
44,Anyone,31qCy5ZaophVA81wtlwLc4,Anyone,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,"['canadian pop', 'pop']",190779,76,False,0.686,0.538,2,-8.026,1,0.0345,0.181,3.13e-06,0.113,0.584,115.884,Mood_Booster,Happy,1,0
45,OK Not To Be OK,0zzVTGyRrWpQu8Fr28NRAv,OK Not To Be OK,Marshmello,64KEffDW9EtZ1y2vBYgq8T,"['brostep', 'dance pop', 'edm', 'pop', 'pop dance', 'progressive electro house']",159862,76,False,0.743,0.837,1,-5.025,0,0.0649,0.0172,0.0,0.0743,0.263,103.072,Mood_Booster,Happy,1,0
48,Can I Get It,6w8ZPYdnGajyfPddTWdthN,30,Adele,4dpARuHxo51G3z768sgnrY,"['british soul', 'pop', 'pop soul', 'uk pop']",210384,75,False,0.703,0.68,9,-6.118,0,0.0431,0.0171,0.0,0.178,0.536,97.985,Mood_Booster,Happy,1,0
49,Black And White,7rpNuuoMbid56XkDsx2FjE,Heartbreak Weather,Niall Horan,1Hsdzj7Dlq2I7tHP7501T4,"['dance pop', 'neo mellow', 'pop', 'post-teen pop', 'uk pop']",193089,74,False,0.443,0.582,2,-6.02,1,0.0482,0.0301,0.0,0.127,0.239,147.589,Mood_Booster,Happy,1,0
50,Chasing Stars (feat. James Bay),6y6xhAgZjvxy5kR5rigpY3,Chasing Stars (feat. James Bay),Alesso,4AVFqumd2ogHFlRbKIjp1t,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'tropical house']",170457,72,False,0.594,0.64,10,-6.865,1,0.033,0.0169,0.0,0.135,0.492,92.871,Mood_Booster,Happy,1,0
51,Wonder Woman,3BLWGYOcy1svvsBByeFxLh,LEGEND,John Legend,5y2Xq6xcjJb2jVM54GHK3t,"['neo mellow', 'neo soul', 'pop', 'pop soul', 'r&b', 'urban contemporary']",168562,72,False,0.628,0.476,0,-4.947,1,0.0352,0.417,0.0,0.121,0.336,147.915,Mood_Booster,Happy,1,0
52,Let's Fall in Love for the Night,7kQkmyoHCEqwe7QwDbkSXM,Let’s Fall In Love For The Night,FINNEAS,37M5pPGs6V1fchFJSgCguX,"['alt z', 'electropop', 'la indie', 'pop']",190348,72,True,0.737,0.408,5,-7.941,1,0.104,0.802,0.0,0.171,0.374,127.921,Mood_Booster,Happy,1,1
53,Fly Away,2zBDKzqa6sdxeI0fC6OWIC,Welcome To The Madhouse,Tones And I,2NjfBq1NflQcKSeiDooVjY,"['australian pop', 'pop']",178156,72,False,0.806,0.513,4,-6.208,1,0.0685,0.217,0.0,0.217,0.503,124.988,Mood_Booster,Happy,1,0
55,dancing in the kitchen,0ohcCrxZkBfFbkuRPOZQZX,dancing in the kitchen,LANY,49tQo2QULno7gxHutgccqF,"['la pop', 'pop']",208599,71,False,0.619,0.736,11,-7.651,1,0.0425,0.0328,0.0,0.0864,0.299,93.993,Mood_Booster,Happy,1,0
56,Don't I Make It Look Easy,0Bm2kjXM4w6JlwS6jpTmfO,Don't I Make It Look Easy,Meghan Trainor,6JL8zeS1NmiOftqZTRgdTz,"['dance pop', 'hip pop', 'pop', 'post-teen pop', 'uk pop']",154888,71,True,0.628,0.742,0,-4.51,1,0.0668,0.0624,0.0,0.274,0.829,148.756,Mood_Booster,Happy,1,1
57,The Bones - with Hozier,1yTTMcUhL7rtz08Dsgb7Qb,The Bones (with Hozier),Maren Morris,6WY7D3jk8zTrHtmkqqo5GI,"['contemporary country', 'country', 'country road', 'pop', 'texas country']",197298,71,False,0.561,0.597,11,-6.0,0,0.0405,0.286,0.0,0.0979,0.355,76.826,Mood_Booster,Happy,1,0
58,Wave of You,5Ne1q9Hv3l2NHBA3Agt8WT,Wave of You,Surfaces,4ETSs924pXMzjIeD6E9b4u,"['bedroom soul', 'pop']",213842,71,False,0.695,0.656,1,-6.038,1,0.0489,0.057,0.0,0.267,0.346,90.986,Mood_Booster,Happy,1,0
59,Way Less Sad,6g3XrmNrWVa33dZuxIhMbF,OK ORCHESTRA,AJR,6s22t5Y3prQHyaHWUN1R1C,['modern rock'],206108,71,False,0.701,0.547,2,-8.238,1,0.0483,0.00843,0.0,0.0987,0.4,140.015,Mood_Booster,Happy,1,0
60,Clarity,5c6lM2zjAF6MFoD8C1hiBr,Clarity,Vance Joy,10exVja0key0uqUkk6LJRT,"['folk-pop', 'pop', 'pop rock']",227240,70,False,0.552,0.873,0,-6.065,1,0.0464,0.00137,0.000273,0.0966,0.62,125.059,Mood_Booster,Happy,1,0
61,Glad You Exist,472vIK1ldetTxRxG3ovaiY,Glad You Exist,Dan + Shay,7z5WFjZAIYejWy0NI5lv4T,"['contemporary country', 'country', 'country road', 'pop']",144533,70,False,0.748,0.551,11,-6.12,1,0.0349,0.235,0.0,0.119,0.66,103.953,Mood_Booster,Happy,1,0
64,You (with Marshmello & Vance Joy),1GkHyypTFkUf0QQKwYoXH4,You (with Marshmello & Vance Joy),benny blanco,5CiGnKThu5ctn9pBxv7DGa,"['dance pop', 'electropop', 'pop', 'pop rap']",169632,69,False,0.668,0.563,11,-6.433,1,0.0522,0.0493,0.0,0.119,0.305,103.116,Mood_Booster,Happy,1,0
65,Blueberry Eyes (feat. SUGA of BTS),5dn6QANKbf76pANGjMBida,Blueberry Eyes (feat. SUGA of BTS),MAX,1bqxdqvUtPWZri43cKHac8,"['dance pop', 'electropop', 'pop', 'post-teen pop', 'viral pop']",172244,69,False,0.746,0.611,0,-7.034,0,0.101,0.454,0.000922,0.133,0.411,149.967,Mood_Booster,Happy,1,0
66,Sheesh!,3ddNKnYpVx0uI8vcwbTQ5Y,Sheesh!,Surfaces,4ETSs924pXMzjIeD6E9b4u,"['bedroom soul', 'pop']",148846,69,False,0.743,0.832,5,-3.937,1,0.0611,0.161,0.0,0.0925,0.801,149.951,Mood_Booster,Happy,1,0
67,Love Again,1imMjt1YGNebtrtTAprKV7,Future Nostalgia,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,"['dance pop', 'pop', 'uk pop']",258004,69,False,0.659,0.667,11,-4.668,0,0.0339,0.00173,2.85e-05,0.1,0.468,115.982,Mood_Booster,Happy,1,0
68,Cloudy Day,0mA7zotmg2ZFMRALljdZsS,Cloudy Day,Tones And I,2NjfBq1NflQcKSeiDooVjY,"['australian pop', 'pop']",185303,69,False,0.705,0.776,4,-6.096,1,0.0445,0.0643,2.81e-06,0.0246,0.366,116.011,Mood_Booster,Happy,1,0
71,Little Bit of Love,78q4ESvMkPVJzHAV11LAGE,Little Bit of Love (Acoustic),Tom Grennan,5SHxzwjek1Pipl1Yk11UHv,"['tropical house', 'uk pop']",226268,67,False,0.689,0.706,1,-4.48,0,0.0312,0.0833,0.0,0.105,0.623,106.52,Mood_Booster,Happy,1,0
72,Catching Feelings (feat. SIX60),0gCNs3jCCDhObAK0MRghtv,Drax Project,Drax Project,6S0IvKlvPMX1RtAYtVpUV8,"['australian pop', 'nz pop']",218854,67,False,0.396,0.521,3,-5.877,1,0.101,0.605,0.0,0.157,0.34,175.558,Mood_Booster,Happy,1,0
74,Everybody Wants To Rule The World,4RvWPyQ5RL0ao9LPZeSouE,Songs From The Big Chair (Super Deluxe Edition),Tears For Fears,4bthk9UfsYUYdcFyqxmSUU,"['new romantic', 'new wave', 'new wave pop', 'permanent wave', 'rock', 'sophisti-pop', 'synthpop']",251488,88,False,0.645,0.795,7,-12.095,1,0.0527,0.347,0.00389,0.104,0.535,112.067,Have_A_Great_Day,Happy,1,0
75,Mr. Brightside,003vvx7Niy0yvhvHt4a68B,Hot Fuss,The Killers,0C0XlULifJtAgn6ZNCW2eu,"['alternative rock', 'dance rock', 'permanent wave', 'rock']",222973,86,False,0.352,0.911,1,-5.23,1,0.0747,0.00121,0.0,0.0995,0.236,148.033,Have_A_Great_Day,Happy,1,0
76,Take on Me,2WfaOiMkCvy7F5fcp2zZ8L,Hunting High and Low,a-ha,2jzc5TC5TVFLXQlBNiIUzE,"['new romantic', 'new wave', 'new wave pop', 'permanent wave', 'soft rock', 'synthpop']",225280,86,False,0.573,0.902,6,-7.638,0,0.054,0.018,0.00125,0.0928,0.876,84.412,Have_A_Great_Day,Happy,1,0
77,Viva La Vida,1mea3bSkSGXuIRvnydlB5b,Viva La Vida or Death and All His Friends,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,"['permanent wave', 'pop']",242373,85,False,0.486,0.617,5,-7.115,0,0.0287,0.0954,3.23e-06,0.109,0.417,138.015,Have_A_Great_Day,Happy,1,0
80,Dreams - 2004 Remaster,0ofHAoxe9vBkTCp2UQIavz,Rumours (Super Deluxe),Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,"['album rock', 'classic rock', 'rock', 'soft rock', 'yacht rock']",257800,84,False,0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,Have_A_Great_Day,Happy,1,0
82,Shut Up and Dance,4kbj5MwxO1bq9wjT5g9HaA,TALKING IS HARD,WALK THE MOON,6DIS6PRrLS3wbnZsf7vYic,"['dance rock', 'indie poptimism', 'modern alternative rock', 'modern rock', 'pop rock', 'rock']",199080,84,False,0.578,0.866,1,-3.804,1,0.0619,0.00701,0.0,0.257,0.619,128.038,Have_A_Great_Day,Happy,1,0
83,September,2grjqo0Frpf2okIBiifQKs,"The Best Of Earth, Wind & Fire Vol. 1","Earth, Wind & Fire",4QQgXkCYTt3BlENzhyNETg,"['disco', 'funk', 'jazz funk', 'quiet storm', 'soul']",215093,83,False,0.697,0.832,9,-7.264,1,0.0298,0.168,0.00131,0.269,0.979,125.926,Have_A_Great_Day,Happy,1,0
84,"Hey, Soul Sister",4HlFJV71xXKIGcU3kRyttv,"Save Me, San Francisco (Golden Gate Edition)",Train,3FUY2gzHeIiaesXtOAdB7A,"['dance pop', 'neo mellow', 'pop', 'pop rock']",216773,83,False,0.673,0.886,1,-4.44,0,0.0431,0.185,0.0,0.0826,0.795,97.012,Have_A_Great_Day,Happy,1,0
85,Here Comes The Sun - Remastered 2009,6dGnYIeXmHdcikdzNNDMm2,Abbey Road (Remastered),The Beatles,3WrFJ7ztbogyGnTHbHJFl2,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",185733,83,False,0.557,0.54,9,-10.484,1,0.0347,0.0339,0.00248,0.179,0.394,129.171,Have_A_Great_Day,Happy,1,0
86,Summer Of '69,0GONea6G2XdnHWjNZd6zt3,Reckless (30th Anniversary / Deluxe Edition),Bryan Adams,3Z02hBLubJxuFJfhacLSDc,"['canadian pop', 'canadian singer-songwriter', 'classic canadian rock', 'heartland rock', 'mellow gold', 'soft rock']",216053,82,False,0.508,0.834,2,-6.205,1,0.0386,0.0183,0.0,0.0732,0.774,139.131,Have_A_Great_Day,Happy,1,0
87,Ain't No Mountain High Enough,7tqhbajSfrz2F7E1Z75ASX,United,Marvin Gaye,3koiLjNrgRTNbOwViDipeA,"['classic soul', 'funk', 'indie r&b', 'motown', 'northern soul', 'quiet storm', 'soul']",151666,82,False,0.663,0.6,7,-10.87,1,0.032,0.43,0.0,0.184,0.8,129.991,Have_A_Great_Day,Happy,1,0
88,Hey Ya!,2PpruBYCo4H7WOBJ7Q2EwM,Speakerboxxx/The Love Below,Outkast,1G9G7WwrXka3Z1r7aIDjI7,"['atl hip hop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'pop rap', 'rap', 'southern hip hop']",235213,82,False,0.727,0.974,4,-2.261,0,0.0664,0.103,0.000532,0.174,0.965,79.526,Have_A_Great_Day,Happy,1,0
89,"Rocket Man (I Think It's Going To Be A Long, Long Time)",3gdewACMIVMEWVbyb8O9sY,Honky Chateau,Elton John,3PhoLpVuITZKcymswpck5b,"['glam rock', 'mellow gold', 'piano rock']",281613,81,False,0.601,0.532,10,-9.119,1,0.0286,0.432,6.25e-06,0.0925,0.341,136.571,Have_A_Great_Day,Happy,1,0
90,Mr. Blue Sky,2RlgNHKcydI9sayD2Df2xp,Out of the Blue,Electric Light Orchestra,7jefIIksOi1EazgRTfW2Pk,"['album rock', 'art rock', 'beatlesque', 'classic rock', 'glam rock', 'mellow gold', 'rock', 'soft rock', 'symphonic rock']",303373,81,False,0.388,0.338,10,-10.054,1,0.0329,0.652,3.73e-06,0.248,0.478,177.765,Have_A_Great_Day,Happy,1,0
91,What's Up?,0jWgAnTrNZmOGmqgvHhZEm,"Bigger, Better, Faster, More !",4 Non Blondes,0Je74SitssvJg1w4Ra2EK7,"['new wave pop', 'pop rock']",295533,81,False,0.565,0.564,2,-10.044,1,0.0292,0.161,0.0,0.114,0.454,134.355,Have_A_Great_Day,Happy,1,0
92,I'm Yours,1EzrEOXmMH3G43AXT1y7pA,We Sing. We Dance. We Steal Things.,Jason Mraz,4phGZZrJZRo4ElhRtViYdl,"['acoustic pop', 'neo mellow', 'pop', 'pop rock']",242946,81,False,0.703,0.444,11,-9.331,1,0.0417,0.559,0.0,0.0973,0.712,150.96,Have_A_Great_Day,Happy,1,0
93,Stayin Alive,5ubvP9oKmxLUVq506fgLhk,How Can You Mend A Broken Heart,Bee Gees,1LZEQNv7sE11VDY3SdxQeN,"['disco', 'mellow gold', 'soft rock']",285373,80,False,0.702,0.773,10,-9.256,0,0.0343,0.0288,0.00871,0.147,0.953,103.564,Have_A_Great_Day,Happy,1,0
94,Best Day Of My Life,5Hroj5K7vLpIG4FNCRIjbP,"Oh, What A Life",American Authors,0MlOPi3zIDMVrfA9R04Fe3,"['indie poptimism', 'modern rock', 'pop rock']",194240,80,False,0.673,0.902,2,-2.392,1,0.0346,0.0591,0.000262,0.0558,0.538,100.012,Have_A_Great_Day,Happy,1,0
96,Wake Me Up Before You Go-Go,0ikz6tENMONtK6qGkOrU3c,Make It Big,Wham!,5lpH0xAS4fVfLkACg9DAuM,"['dance pop', 'disco', 'europop', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']",231333,80,False,0.62,0.573,0,-11.893,1,0.0423,0.271,0.0,0.0607,0.897,81.548,Have_A_Great_Day,Happy,1,0
98,My Girl,745H5CctFr12Mo7cqa1BMH,The Temptations Sing Smokey,The Temptations,3RwQ26hR2tJtA8F9p2n7jG,"['classic soul', 'funk', 'memphis soul', 'motown', 'soul']",165000,80,False,0.572,0.418,0,-10.738,1,0.0349,0.635,0.0,0.0961,0.694,104.566,Have_A_Great_Day,Happy,1,0
99,Tongue Tied,0GO8y8jQk1PkHzS31d699N,Never Trust a Happy Song,Grouplove,3kVUvbeRdcrqQ3oHk5hPdx,"['indie poptimism', 'indie rock', 'indietronica', 'la indie', 'modern alternative rock', 'modern rock', 'rock']",218013,80,False,0.56,0.936,3,-5.835,1,0.0439,0.00847,0.0,0.161,0.371,112.96,Have_A_Great_Day,Happy,1,0
103,Drops of Jupiter (Tell Me),2hKdd3qO7cWr2Jo0Bcs0MA,Drops Of Jupiter,Train,3FUY2gzHeIiaesXtOAdB7A,"['dance pop', 'neo mellow', 'pop', 'pop rock']",259933,79,False,0.481,0.638,0,-5.862,1,0.0276,0.153,0.0,0.154,0.497,79.064,Have_A_Great_Day,Happy,1,0
104,Don't Go Breaking My Heart,7HW5WIw7ZgZORCzUxv5gW5,Rock Of The Westies,Elton John,3PhoLpVuITZKcymswpck5b,"['glam rock', 'mellow gold', 'piano rock']",275440,79,False,0.729,0.844,5,-8.824,1,0.0344,0.149,2.87e-06,0.0604,0.777,131.459,Have_A_Great_Day,Happy,1,0
